amfi_code,scheme_name,fund_house,sub_category,plan,expense_ratio_pct,cagr_3yr_pct,sharpe,sortino,ann_return_pct,ann_vol_pct,alpha_annual_pct,beta,r_squared,max_drawdown_pct,trough_date,recovered,rank_return_3yr,rank_sharpe,rank_alpha,rank_expense,rank_drawdown,scorecard,overall_rank
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Large Cap,Regular,1.46,33.991970400445304,1.4482911703262595,2.385644373368818,27.05662016691685,14.19370675462035,26.98375144191807,0.023683558075848606,0.00046254369066238394,-11.265729075028275,2023-10-20,True,97.5,100.0,85.0,45.0,82.5,86.25,1
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Mid Cap,Regular,1.36,31.769242852237323,1.1801011976606495,2.0293529404657464,29.265272498407114,19.290949406318195,29.26358334175106,0.0005490042506317283,1.345534167566965e-07,-18.188513572116292,2025-01-23,True,90.0,90.0,95.0,65.0,40.0,82.25,2
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Flexi Cap,Regular,1.45,29.57511058901836,1.3067439695428407,2.364320032166718,27.26022383393476,15.88698652360926,27.330465038306055,-0.022829569792426545,0.000343054342715145,-12.97396816518679,2022-04-13,True,85.0,97.5,90.0,47.5,70.0,82.0,3
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Mid Cap,Regular,1.38,32.43397122906222,1.0936987435346308,1.8291339615146942,27.211056847152378,18.936710835214164,27.19535450128533,0.0051035258305283,1.2066520635068112e-05,-16.217208574644847,2022-05-12,True,92.5,85.0,87.5,60.0,52.5,80.75,4
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Large Cap,Direct,0.8,32.478927222623,1.0265242847993004,1.8052937940992548,21.24476957328343,14.363780566736658,21.19482701352573,0.01623216976141703,0.00021216129075887516,-12.588275606922517,2023-05-30,True,95.0,77.5,70.0,72.5,72.5,80.0,5
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Mid Cap,Regular,1.38,35.10252788903541,0.9982309868636414,1.7037974802463003,25.872785977673978,19.407117423334718,26.07666908004223,-0.06626542862803757,0.0019368789369602314,-20.960883862039193,2022-08-11,True,100.0,75.0,80.0,60.0,32.5,77.0,6
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Large Cap,Regular,1.54,30.448613060027817,1.2082665673727175,2.140267129061793,23.10331546138719,13.741434141879644,23.201007160635083,-0.03175144113890974,0.0008869788879322824,-15.012385498645331,2024-02-05,True,87.5,92.5,77.5,26.25,60.0,74.81,7
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,ELSS,Regular,1.6,29.17135767741186,1.2349300257743296,2.1469139263460555,28.32616153888044,17.674006691346694,28.27036785246582,0.01813388408385924,0.00017488886568129544,-16.39674294693263,2023-10-20,True,82.5,95.0,92.5,11.25,50.0,73.69,8
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Large Cap,Regular,1.6,28.960211096593724,1.0272133278753697,1.7995628746984524,21.46466240023027,14.568212847454326,21.399784776051213,0.02108631625012805,0.0003480482030714258,-11.291596329323072,2023-07-05,True,80.0,80.0,72.5,11.25,80.0,68.19,9
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Small Cap,Regular,1.43,26.66309129954312,0.9453082575156093,1.6753165700125516,30.265596572351257,25.140578624384673,30.336965386983323,-0.023196062044059707,0.00014142575502721732,-28.706005721764548,2025-05-14,True,72.5,67.5,100.0,50.0,12.5,67.38,10
